"","Paper","Language","FFD_ms","FFD_RAN_ms","FFD_X_ms","FFD_ORTH_ms","FFD_UNREL_ms","FFD_SEM_ms","FFD_PHON_ms","FFD_PSEUD_ms","FFD_es","FFD_RAN_es","FFD_X_es","FFD_ORTH_es","FFD_UNREL_es","FFD_SEM_es","FFD_PHON_es","FFD_PSEUD_es","GD_ms","GD_RAN_ms","GD_X_ms","GD_ORTH_ms","GD_UNREL_ms","GD_SEM_ms","GD_PHON_ms","GD_PSEUD_ms","GD_es","GD_RAN_es","GD_X_es","GD_ORTH_es","GD_UNREL_es","GD_SEM_es","GD_PHON_es","GD_PSEUD_es","SFD_ms","SFD_RAN_ms","SFD_X_ms","SFD_ORTH_ms","SFD_UNREL_ms","SFD_SEM_ms","SFD_PHON_ms","SFD_PSEUD_ms","SFD_es","SFD_RAN_es","SFD_X_es","SFD_ORTH_es","SFD_UNREL_es","SFD_SEM_es","SFD_PHON_es","SFD_PSEUD_es","Total_ms","Total_RAN_ms","Total_X_ms","Total_ORTH_ms","Total_UNREL_ms","Total_SEM_ms","Total_PHON_ms","Total_PSEUD_ms","Total_es","Total_RAN_es","Total_X_es","Total_ORTH_es","Total_UNREL_es","Total_SEM_es","Total_PHON_es","Total_PSEUD_es"
"1","Yan, Richter, Shu, & Kliegl (2009)","Chinese",NA,NA,NA,24,37,17,33,NA,NA,NA,NA,0.338515374699272,0.483484605352724,0.241651889050997,0.451314362181887,NA,NA,NA,NA,53,75,49,56,NA,NA,NA,NA,0.378793745243183,0.484678597709747,0.358659288741393,0.405026870568949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Hohenstein & Kliegl (2014), Exp.3","German",NA,NA,NA,NA,39,18,NA,50,NA,NA,NA,NA,0.454889765767563,0.208542400690857,NA,0.583192007394311,NA,NA,NA,NA,46,20,NA,57,NA,NA,NA,NA,0.486615851130204,0.204358440253236,NA,0.60650311063484,NA,NA,NA,NA,46,20,NA,56,NA,NA,NA,NA,0.530437810673994,0.227588879254908,NA,0.650065040851518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Inhoff & Tousman (1990)","English",NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,0.604738689602465,NA,NA,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,0.698657716885733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Rayner, Schotter, Drieghe (2014)","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,47,44,NA,NA,NA,NA,NA,0.443270424110883,0.793764920850098,0.743099074838389,NA,NA,NA,NA,NA,26,55,41,NA,NA,NA,NA,NA,0.531153961926804,1.0141803161681,0.795180139230946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rayner, Balota, & Pollatsek (1986)","English",NA,NA,NA,1,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,44,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Schotter (2013)","English",NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0.375599478084711,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.525864409880222,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,0.504626581351745,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0.525729056380043,NA,NA,NA
"7","Schotter (2013), Exp.2","English",NA,NA,NA,NA,11,16,NA,NA,NA,NA,NA,NA,0.313192725257325,0.422729751628437,NA,NA,NA,NA,NA,NA,17,20,NA,NA,NA,NA,NA,NA,0.373906875133265,0.436151336400464,NA,NA,NA,NA,NA,NA,14,20,NA,NA,NA,NA,NA,NA,0.380468497639051,0.490688594176168,NA,NA,NA,NA,NA,NA,25,28,NA,NA,NA,NA,NA,NA,0.316196400889503,0.327837725094844,NA,NA
"8","Rayner & Schotter (2014)","English",NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,0.162550598574124,0.228095665135664,NA,NA,NA,NA,NA,NA,14,12,NA,NA,NA,NA,NA,NA,0.294044967589252,0.236307470159758,NA,NA,NA,NA,NA,NA,7,13,NA,NA,NA,NA,NA,NA,0.18083991841234,0.293193885624284,NA,NA,NA,NA,NA,NA,36,30,NA,NA,NA,NA,NA,NA,0.484494123958839,0.393397883225533,NA,NA
"9","Tsai, Kliegl, & Yan (2012)","Chinese",NA,NA,NA,33,40,30,42,NA,NA,NA,NA,0.668016194331984,0.809716599190283,0.607287449392713,0.850202429149798,NA,NA,NA,NA,56,65,45,69,NA,NA,NA,NA,0.792079207920792,0.875037846852563,0.636492220650636,0.975954738330976,NA,NA,NA,NA,34,50,28,50,NA,NA,NA,NA,0.601769911504425,0.884955752212389,0.495575221238938,0.884955752212389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Yan, Zhou, Shu, Kliegl (2012)","Chinese",NA,NA,NA,NA,41,28,NA,NA,NA,NA,NA,NA,1.25027313195505,1.35265700483092,NA,NA,NA,NA,NA,NA,77,58.5,NA,NA,NA,NA,NA,NA,1.45470350351134,1.40963855421687,NA,NA,NA,NA,NA,NA,46,30,NA,NA,NA,NA,NA,NA,1.30380690043514,1.08303249097473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hyona & Haikio (2005)","Finnish",NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,0.41851844695489,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,0.36986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,0.402444094882424,NA,NA,NA
"12","Rayner, Castelhano, & Yang (2010)","English",NA,17,NA,NA,NA,NA,NA,NA,NA,0.384776920680704,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0.682266758149447,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0.463384365184545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Rayner, Juhasz, & Brown (2007)","English",NA,36,NA,NA,32,NA,NA,NA,NA,0.82622284692677,NA,NA,0.761688894281247,NA,NA,NA,NA,42,NA,NA,47,NA,NA,NA,NA,0.698449610499626,NA,NA,0.781598373654344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,52,NA,NA,NA,NA,0.446730643312099,NA,NA,0.507311037382278,NA,NA,NA
"14","Rayner, Juhasz, & Brown (2007), Exp. 2","English",NA,35,NA,NA,29,NA,NA,NA,NA,0.693035338772909,NA,NA,0.519975516592513,NA,NA,NA,NA,37,NA,NA,18,NA,NA,NA,NA,0.513839331158035,NA,NA,0.264448650424649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,31,NA,NA,NA,NA,0.466792597634675,NA,NA,0.352249984593645,NA,NA,NA
"15","Veldre & Andrews (2015b)","English",NA,NA,NA,13,NA,NA,NA,12,NA,NA,NA,0.412517564064373,NA,NA,NA,0.369764139382996,NA,NA,NA,28,NA,NA,NA,22,NA,NA,NA,0.620614537708884,NA,NA,NA,0.510406490778533,NA,NA,NA,13,NA,NA,NA,15,NA,NA,NA,0.362494784315369,NA,NA,NA,0.397225230812882,NA,NA,NA,19,NA,NA,NA,22,NA,NA,NA,0.200460979463328,NA,NA,NA,0.232112713062801
"16","Veldre & Andrews (2015a)","English",NA,50,NA,NA,NA,NA,NA,NA,NA,1.52376363882891,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1.72040290936458,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,1.7991570319369,NA,NA,NA,NA,NA,NA,NA,79.5,NA,NA,NA,NA,NA,NA,NA,1.27550513691341,NA,NA,NA,NA,NA,NA
"17","Angele & Rayner (2011)","English",NA,14,NA,NA,NA,NA,NA,NA,NA,0.176988463166317,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0.239808230093229,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0.205491615701739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Yan (2015)","Chinese",NA,NA,NA,NA,27,NA,NA,20.5,NA,NA,NA,NA,0.596457547159352,NA,NA,0.445231548832146,NA,NA,NA,NA,56,NA,NA,45.5,NA,NA,NA,NA,0.826247688732542,NA,NA,0.704010536517665,NA,NA,NA,NA,33.5,NA,NA,23,NA,NA,NA,NA,0.631682057859982,NA,NA,0.452768187040018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Yen, Tsai, Tzeng, & Hung (2008)","Chinese",NA,NA,NA,NA,43,NA,NA,47,NA,NA,NA,NA,0.739136629412833,NA,NA,0.853596444227416,NA,NA,NA,NA,61,NA,NA,67,NA,NA,NA,NA,0.720553836764341,NA,NA,0.840187317706325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Yang, Wang, Tong, & Rayner (2012)","Chinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,31,NA,NA,NA,NA,NA,NA,0.616952311258069,0.603679779098219,NA,NA,NA,NA,NA,NA,28,25,NA,NA,NA,NA,NA,NA,0.616764027091417,0.578896055809362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Yang, Wang, Tong, & Rayner (2012), Exp.2","Chinese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,13,NA,NA,NA,NA,NA,NA,0.38362056861059,0.271157173512788,NA,NA,NA,NA,NA,NA,17,7,NA,NA,NA,NA,NA,NA,0.387654798879006,0.171782373894206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Yang, Wang, Xu, & Rayner (2009)","Chinese",NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0.301166929733974,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,0.446392588993646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Yang, Wang, Xu, & Rayner (2009), Exp.2","Chinese",NA,NA,NA,NA,27,NA,NA,32.5,NA,NA,NA,NA,0.325124272845701,NA,NA,0.408825246002607,NA,NA,NA,NA,58,NA,NA,82.5,NA,NA,NA,NA,0.393379712087,NA,NA,0.547299054598289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Winskel & Salehuddin (2014)","Malay",NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Yang, Rayner, Li, & Wang (2012)","Chinese",NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0.349890676242843,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,0.772477835997656,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,0.333282047336671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Angele, Slattery, Yang, Kliegl, & Rayner (2008)","English",NA,23,NA,NA,NA,NA,NA,NA,NA,0.534306092553384,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,0.632428083493766,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0.770165077175355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Lima (1987)","English",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Lima (1987), Exp.2","English",NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Belanger, Mayberry, & Rayner (2013)","English",NA,NA,NA,21,16.5,NA,10.5,NA,NA,NA,NA,0.253205085442675,0.187572679116367,NA,0.139515636414964,NA,NA,NA,NA,17.5,16,NA,11.5,NA,NA,NA,NA,0.162255409443382,0.13870826611943,NA,0.112739680076357,NA,NA,NA,NA,20.5,13,NA,13,NA,NA,NA,NA,0.247995715804057,0.146834081521737,NA,0.171571382564313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Balota, Pollatsek, & Rayner (1985)","English",NA,NA,NA,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Johnson, Perea, & Rayner (2007)","English",NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Johnson, Perea, & Rayner (2007), Exp.2","English",NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Johnson, Perea, & Rayner (2007), Exp.3","English",NA,NA,NA,24.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Briihl & Inhoff (1995), Exp.2","English",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0.731406546637876,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,0.669944925597238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Angele, Laishley, Rayner, & Liversedge (2014)","English",NA,31,NA,NA,NA,NA,NA,NA,NA,0.414194834090588,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0.355621305185837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,0.242925426126705,NA,NA,NA,NA,NA,NA
"36","Angele & Rayner (2013)","English",NA,22,NA,NA,NA,NA,NA,NA,NA,1.01753212828922,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0.986417811428382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Pollatsek, Lesch, Morris, & Rayner (1992), Exp. 2","English",NA,NA,NA,35,41,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,43,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Miellet & Sparrow (2004)","French",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Binder, Pollatsek, & Rayner (1999)","English",NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Chace, Rayner, & Well (2005)","English",NA,23,NA,14,NA,NA,7,NA,NA,0.782312925170068,NA,0.476190476190476,NA,NA,0.238095238095238,NA,NA,26,NA,21,NA,NA,12,NA,NA,0.604651162790698,NA,0.488372093023256,NA,NA,0.27906976744186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Starr & Inhoff (2004)","English",NA,22,NA,NA,26,NA,NA,NA,NA,0.289894955319957,NA,NA,0.321833326483233,NA,NA,NA,NA,39,NA,NA,37,NA,NA,NA,NA,0.375557186579746,NA,NA,0.37605723713581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
